Időpont,Tevékenység,Helyszín
7:00–8:00,Reggeli,Grand Hotel
9:00–11:00,Írásbeli próba a diákoknak,Bolyai Farkas Elméleti Líceum és Református Kollégium tantermei
9:00–11:00,"Megbeszélés az országos bizottság, a kísérő tanárok és a Maros megyei történelemtanárok között",Bolyai Farkas Elméleti Líceum és Református Kollégium díszterme
12:00–13:30,Ebéd,Deus Providebit Tanulmányi Ház – Efendi étterem
14:00,"Gyakorlati próba, bemutatók","Bolyai Farkas Elméleti Líceum és Református Kollégium díszterme, illetve az idegennyelv szakterem"
17:00–19:00,Városnézés,
19:00–20:00,Vacsora,Grand Hotel
